gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Chek1,12649,2.889119882605687,1.4073555711284889,7.912201049241801e-7,3.4953623337599487e-6,12,15,29,0.29344105667009435,0.2913155126115761,1.8163909861513883
Pcmt1,18537,-1.7150089765530898,6.244498369418815,7.922637480230312e-7,3.499164887101721e-6,1059,1323,104,12.575161504304301,12.477000031352805,3.1631709170091775
Slc38a10,72055,1.4392665127102655,5.986394776058273,7.926680243631769e-7,3.500142467145318e-6,528,478,392,9.373195847030365,6.739293741990374,17.824261465547934
Mfn2,170731,-1.679654720129432,6.706368039123062,7.934363757124285e-7,3.5027268519856703e-6,1584,1698,147,26.674188181502302,22.709440788151856,6.340522916190825
Wrnip1,78903,-2.0894537780276314,4.33044361903288,7.956068879683631e-7,3.5114986361011975e-6,292,332,21,10.753840954805991,9.710722911790187,1.9809420033389524
Cd72,12517,4.14163459942164,0.18445894983973202,7.975375780139894e-7,3.5183966982111273e-6,4,2,16,0.22471169447465458,0.0892335969731687,2.3022759365760535
B430306N03Rik,320148,4.14163459942164,0.18445894983973202,7.975375780139894e-7,3.5183966982111273e-6,4,2,16,0.11343650679979649,0.04504593120301025,1.1622098286650318
Marcksl1,17357,1.5768447148906959,5.767313995184121,8.000326383268396e-7,3.5285902418412685e-6,310,514,352,18.840131636060516,24.80950382203919,54.794454895249174
Doc2b,13447,-1.95336882874148,4.608803555690892,8.075531029026394e-7,3.5609388148965662e-6,387,369,28,7.429984876640162,5.626470569685073,1.3769136471511476
Olig2,50913,-3.077657303648948,3.2662691675318136,8.108310653516722e-7,3.574569302620632e-6,169,127,5,6.122013278693894,3.6537935451612213,0.46392660114362944
Ddias,74041,2.890877465259471,1.3540066134792337,8.145057361090789e-7,3.589942006214008e-6,14,12,28,0.3922264013548391,0.2670070658638552,2.009271052047802
NA,102636354,2.414294719576558,2.345911623721182,8.227979253977954e-7,3.6256546998240487e-6,40,21,47,0.49315845771680406,0.20562622840269204,1.4842124171711624
Ndufa1,54405,-2.8546319925351105,4.12578740778865,8.234226599488594e-7,3.6275721282066607e-6,161,398,11,31.711186957310918,62.25903927438888,5.549463707445213
Zbtb20,56490,1.5181683797903718,9.286944164581126,8.245106628501296e-7,3.631529123460297e-6,4720,4744,3892,16.882578123718712,13.476408608582027,35.65671332437306
D030056L22Rik,225995,-2.7477548212968195,3.599898464284377,8.329471337377018e-7,3.6678429251561446e-6,149,228,8,8.861689726418883,10.769557001930448,1.218686406524977
NA,102638019,4.596759984407303,0.014916591347714251,8.39646573482675e-7,3.696492841795679e-6,3,1,15,0.08025858980549253,0.021247262848161697,1.0278582766058197
Gm7592,101055758,2.6967974471418974,2.0525869279246223,8.410614438568255e-7,3.7018699345094646e-6,12,33,42,0.30335203026508323,0.662540331072802,2.7194849430093595
Incenp,16319,1.8241211751177029,3.5637158598198995,8.510102683720627e-7,3.744643079568426e-6,80,91,87,2.3958181276091213,2.164402229322109,6.673517759830447
NA,115489480,-2.1958146601990998,4.133738352908981,8.512739094876318e-7,3.744643079568426e-6,256,288,17,1.828977304436927,1.634156175481611,0.31109209870651894
Pkn3,263803,3.271856170347011,0.9880116491131493,8.513666124561047e-7,3.744643079568426e-6,10,7,24,0.22491947227814482,0.12504254850932703,1.3826428301490028
NA,118568625,-1.8146392459918,5.296662715306211,8.597733220351786e-7,3.78074993576168e-6,690,534,50,3.119174547397907,1.9171873963324668,0.5789383249729552
Kbtbd7,211255,-1.8139360663227047,5.084853010621261,8.602803810540319e-7,3.782110416063142e-6,478,577,43,10.269259936453336,9.845092118071733,2.366199804764271
Tpm3,59069,1.4728353738895807,7.119968529507661,8.673062885799831e-7,3.8121229541467535e-6,1010,1152,861,12.757778183123548,11.556833936847493,27.85662724726496
Cnst,226744,-1.7517811715427831,5.324151579219929,8.71148373815932e-7,3.8281308764860415e-6,578,667,53,11.937910130110318,10.941050467169527,2.803806541524296
Slc29a1,63959,1.5431151896779791,4.508223251683276,8.7720086723444e-7,3.85384252417831e-6,173,183,149,3.5640330979042774,2.994190552850694,7.862372252809506
Scamp2,24044,1.594548170184228,4.33625434782337,8.790172677314916e-7,3.860936038454231e-6,162,149,135,6.379047559942987,4.6597199319449,13.615898408797364
