gene_id_ms,gene_name_ms,gene_name_hu,gene_length,mean_rpkm,max_rpkm,sd_rpkm,x38533_subq,x38533_acral,x38534_subq,x38534_acral,x38536_subq,x38536_acral,x38537_subq,x38537_acral,x38538_subq,x38538_acral
100039034,NA,NA,795,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039042,NA,NA,1766,NA,NA,NA,0,0,12,2,18,40,30,35,27,62
100039043,NA,NA,1810,NA,NA,NA,3,0,0,0,12,29,8,14,4,5
100039045,NA,NA,3342,NA,NA,NA,0,0,0,0,12,0,0,0,3,0
100039052,NA,NA,1822,NA,NA,NA,0,0,0,2,9,8,6,0,14,18
100039054,NA,NA,1079,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039055,NA,NA,650,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039060,Gm2026,NA,9773,1.129166848651339,1.437976947256192,0.3067740566835125,446,399,659,551,530,842,884,429,669,774
100039062,NA,NA,3025,NA,NA,NA,22,0,10,2,11,7,13,15,6,1
100039065,NA,NA,907,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039078,NA,NA,352,NA,NA,NA,0,17,0,2,3,5,3,0,3,0
100039087,NA,NA,2024,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039089,NA,NA,936,NA,NA,NA,0,0,0,0,0,5,0,0,0,0
100039100,NA,NA,818,NA,NA,NA,0,0,0,2,2,4,0,1,2,2
100039116,NA,NA,1042,NA,NA,NA,0,0,0,0,0,5,0,0,0,0
100039120,NA,NA,890,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039123,NA,NA,13538,NA,NA,NA,362,307,453,306,292,682,535,273,461,531
100039138,NA,NA,2761,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039139,Ccdc152,CCDC152,2926,6.491779604753885,14.782179663037157,3.9412444783951184,319,909,1043,817,1284,1117,1600,508,2094,927
100039148,NA,NA,2914,NA,NA,NA,71,0,0,31,16,40,43,2,22,0
100039150,NA,NA,1059,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039176,NA,NA,561,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039177,NA,NA,1064,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039184,NA,NA,516,NA,NA,NA,0,19,0,23,6,12,26,21,8,19
100039186,NA,NA,367,NA,NA,NA,8,0,0,0,3,0,6,0,0,0
100039206,NA,NA,1028,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039210,NA,NA,2872,NA,NA,NA,0,0,0,0,2,0,7,0,0,0
100039222,NA,NA,1433,NA,NA,NA,13,10,2,13,2,8,19,2,7,10
100039225,NA,NA,573,0.39845680246415904,1.706310120675174,0.5904638550851523,43,24,0,10,4,20,11,0,2,0
100039239,Ctxnd1,NA,4742,31.08196529012,66.96709316170706,23.562902932501085,9845,2792,29,10223,2829,5680,13254,1679,15374,8987
100039240,NA,NA,889,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039252,NA,NA,1602,1.4603572022194393,1.8716423150426904,0.31362605687566164,126,164,93,117,66,127,142,109,105,162
100039269,NA,NA,2776,NA,NA,NA,0,0,4,0,0,0,0,0,0,0
100039284,NA,NA,1237,NA,NA,NA,30,0,7,15,6,9,14,3,20,7
100039315,NA,NA,1893,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039319,NA,NA,348,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039324,NA,NA,893,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039332,NA,NA,3227,6.381675508929588,23.787434512001568,7.614382063106887,3376,281,0,1197,958,1781,1631,304,928,596
100039348,NA,NA,1734,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
100039350,NA,NA,736,NA,NA,NA,0,0,0,10,2,16,3,3,3,0
100039374,NA,NA,3423,NA,NA,NA,68,0,16,0,2,1,10,0,5,2
100039377,NA,NA,921,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039432,NA,NA,1957,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039436,NA,NA,3482,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039440,B230206L02Rik,NA,718,0.4572836680503482,1.3361693606911622,0.46977183968282776,13,0,49,0,17,47,35,0,23,20
100039441,NA,NA,2989,NA,NA,NA,9,1,0,0,17,5,5,35,3,4
100039446,NA,NA,1640,NA,NA,NA,0,0,0,0,0,0,2,1,0,0
100039452,NA,NA,697,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039467,NA,NA,907,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039478,NA,NA,333,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
100039479,NA,NA,903,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039495,Gm15706,NA,899,0.5126206181685754,1.08755917591421,0.32846386402385763,43,0,22,33,17,50,32,19,29,15
100039499,NA,NA,2230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039532,Gm10029,NA,438,8.333696791399142,12.310583149267494,2.2647209354992994,165,220,144,206,101,157,147,288,131,317
100039542,Tbx3os1,NA,3055,2.8364589285581325,5.0506593435205955,1.522535214623872,498,469,70,796,219,354,539,179,511,641
100039548,NA,NA,757,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039550,NA,NA,924,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039551,NA,NA,1032,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039574,NA,NA,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039585,NA,NA,894,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039595,NA,NA,795,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039596,NA,NA,4059,NA,NA,NA,17,10,1,26,30,6,11,58,17,28
100039614,NA,NA,995,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039636,NA,NA,1133,61.885412093471594,92.01080327189966,19.33198720855498,2518,5702,1928,3070,2587,2545,4487,5067,4719,3517
100039641,NA,NA,2361,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039672,Msmp,MSMP,743,12.770111382327922,18.320305931050065,4.174739224405518,546,388,261,408,434,437,812,613,659,468
100039674,NA,NA,4539,NA,NA,NA,93,108,26,112,47,57,107,91,110,195
100039681,Zcwpw2,ZCWPW2,2202,2.4291846082910213,4.873812496011289,1.0348775330121962,472,274,258,236,210,219,296,212,256,256
100039684,NA,NA,2311,0.4506039049323751,1.1216285077711623,0.30603947624636835,114,50,76,17,30,51,49,41,42,45
100039691,NA,NA,3544,NA,NA,NA,14,89,42,59,44,56,46,117,36,102
100039706,NA,NA,4075,NA,NA,NA,46,24,12,9,29,6,14,17,8,8
100039707,Mthfsl,MTHFS,4752,1.5658522857489523,2.287272457078198,0.5288284209742712,265,456,145,390,250,311,554,395,453,639
100039727,NA,NA,921,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039736,NA,NA,838,NA,NA,NA,13,15,0,0,9,1,6,0,6,0
100039739,NA,NA,1651,NA,NA,NA,1,0,0,0,0,0,2,0,0,0
100039753,NA,NA,1796,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039763,Cldn34c6,NA,997,1.1432433219292415,3.6746236846873215,1.2769888275726546,10,0,0,189,21,55,117,25,59,105
100039781,Hrct1,HRCT1,913,1.7683454166594057,3.744714859306034,1.0902094206315731,60,104,50,51,17,58,71,31,130,201
100039786,NA,NA,1476,42.078792091808396,63.44994926296318,16.77408464262946,2345,2708,1135,4501,2272,2249,4832,2768,4534,4346
100039789,NA,NA,673,NA,NA,NA,0,0,0,0,0,0,3,11,7,0
100039790,NA,NA,347,NA,NA,NA,0,0,0,0,0,8,4,0,2,3
100039794,NA,NA,1130,17.1688187238592,24.31136358118947,6.730764523809877,1132,760,446,729,725,886,1635,905,1330,1535
100039795,Ildr2,ILDR2,8712,0.45163348588343777,1.1131136943239737,0.3639567447184468,149,111,218,31,523,319,610,49,354,204
100039796,Tgtp2,NA,2816,18.954179692895284,106.52818212687774,35.74444482520833,254,16408,226,1117,742,2470,1166,106,1612,2457
100039801,Cldn24,NA,663,0.27106249150680184,1.1030316700505425,0.37977243243693604,0,40,0,6,0,18,19,17,2,0
100039805,D5Ertd605e,NA,1062,0.4902542495084575,1.8936934956870544,0.6221990431750039,7,110,0,16,18,37,41,15,37,3
100039810,NA,NA,1221,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039815,Gm2436,NA,1703,5.882575160545709,8.393199910792948,1.4502682777773857,341,550,614,467,318,609,682,436,692,576
100039830,Gm2446,NA,1703,5.901354143916861,8.40532881239814,1.45773584593791,341,550,618,470,318,607,685,436,693,579
100039837,NA,NA,1573,NA,NA,NA,0,49,12,1,10,24,13,8,15,26
100039861,NA,NA,879,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039863,NA,NA,3544,NA,NA,NA,23,0,58,35,18,33,39,121,20,28
100039864,NA,NA,606,4.235309810422595,7.766795215419568,2.1889587270041355,207,120,46,94,119,127,235,90,177,130
100039890,NA,NA,2113,NA,NA,NA,0,0,0,0,2,0,0,0,1,6
100039895,NA,NA,1350,NA,NA,NA,0,0,0,0,0,0,2,4,1,0
100039899,NA,NA,2252,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039901,NA,NA,9175,NA,NA,NA,31,0,0,0,2,9,7,0,2,0
100039904,NA,NA,739,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039911,NA,NA,1089,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039913,NA,NA,1179,NA,NA,NA,0,0,0,0,0,0,0,0,4,25
100039934,NA,NA,2028,NA,NA,NA,0,0,0,0,2,0,0,0,1,6
100039946,NA,NA,1676,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039948,NA,NA,1028,NA,NA,NA,0,0,0,0,0,0,0,0,0,25
100039953,NA,NA,1877,NA,NA,NA,0,0,0,0,0,1,1,0,0,0
100039954,NA,NA,955,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039957,Taf6l,TAF6L,2478,1.485585298549363,2.05846942323385,0.5442192298983974,194,279,103,255,150,108,269,123,213,148
100039964,NA,NA,18344,NA,NA,NA,40,56,317,8,82,82,43,255,12,22
